@relation custard
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen {0,7}

@data
0,0,0,1,0,96,129,0
10,0,0,11,0,96,169,0
2,0,26,15,2,100,210,7
5,0,0,6,0,96,221,0
0,0,48,16,4,99,45,0
13,4,0,17,5,90,107,7
14,4,0,18,5,90,274,7
15,4,0,19,5,90,140,7
3,0,30,20,5,90,170,7
16,4,0,21,5,90,534,7
17,4,0,22,5,90,247,7
18,4,0,23,5,90,168,7
19,4,0,24,5,90,217,7
20,4,0,25,5,90,0,7
21,4,0,26,5,78,183,7
22,4,0,27,5,78,481,7
0,0,0,28,5,75,94,0
23,4,0,29,5,75,192,0
24,4,0,30,5,75,42,7
25,4,0,31,5,75,345,7
26,4,0,32,5,75,287,0
27,4,0,33,5,75,92,7
28,4,0,34,5,81,265,7
1,1,40,35,5,92,85,0
31,4,7,39,5,119,529,0
12,0,0,13,0,96,207,7
11,0,0,12,0,96,284,7
32,6,10,40,8,117,206,0
33,6,10,41,8,117,54,0
2,2,48,42,13,122,95,0
3,2,48,43,13,122,13,0
34,10,11,44,13,126,426,0
35,10,11,45,13,126,307,0
0,0,0,46,13,124,883,7
1,0,0,47,13,124,176,0
2,0,0,48,13,124,199,0
3,0,0,49,13,124,521,0
36,10,11,50,13,126,351,0
5,0,0,52,13,126,551,0
6,0,0,53,13,126,195,0
37,10,11,54,13,126,70,0
7,0,0,55,13,126,267,0
8,0,0,56,13,126,418,0
9,0,0,57,13,125,217,0
5,0,48,58,24,128,401,0
38,15,11,59,24,128,70,0
39,16,11,60,25,128,602,0
1,0,0,2,0,96,56,7
6,1,46,61,29,123,187,7
40,19,11,62,29,123,155,0
41,20,11,63,30,124,121,0
42,21,17,64,31,142,0,0
43,21,17,65,31,142,108,0
44,21,17,66,31,148,300,0
45,21,17,67,31,148,266,0
0,0,15,68,31,148,413,7
46,21,17,69,31,147,169,0
4,3,59,70,32,150,8,0
47,39,17,71,55,156,36,0
9,0,0,10,0,96,492,7
0,0,31,0,0,86,158,7
1,0,24,14,0,96,148,7
48,40,21,72,56,163,60,7
49,40,21,73,56,163,216,0
5,5,63,75,57,193,130,7
51,41,21,76,57,197,274,0
52,41,22,77,57,215,440,0
0,0,0,78,57,230,354,7
1,0,0,79,57,230,259,7
53,41,22,80,57,241,451,7
55,41,22,82,57,241,200,7
0,0,0,83,57,244,622,0
1,0,0,84,57,252,191,0
2,0,0,85,57,255,236,7
56,42,24,86,58,281,28,7
57,42,24,87,58,286,154,0
4,0,42,37,5,111,105,7
2,0,0,88,62,297,241,0
3,0,0,89,62,297,282,0
58,43,24,90,62,297,299,7
59,43,24,91,62,297,432,7
60,43,24,92,62,297,166,0
61,45,24,93,66,297,313,0
62,46,26,94,69,303,167,7
63,46,26,95,69,303,204,7
64,46,26,96,69,303,193,7
65,46,26,97,69,303,231,7
66,46,26,98,69,303,207,0
67,46,26,99,69,303,85,0
7,4,171,100,69,303,192,7
8,4,171,101,69,303,269,7
68,47,26,102,70,303,259,7
69,48,26,103,71,313,0,0
70,48,28,104,71,315,151,7
72,49,36,106,72,329,719,0
73,50,36,108,73,336,659,7
74,50,36,109,73,336,137,7
75,50,36,110,73,336,50,7
76,50,36,111,73,342,305,0
4,2,0,112,73,344,877,7
77,50,38,113,73,350,107,0
78,50,38,114,73,350,279,7
3,2,0,115,74,379,231,7
79,51,38,116,74,387,179,0
80,52,38,117,77,389,207,0
10,6,198,118,79,394,414,7
81,54,38,119,79,395,201,7
82,54,40,121,79,403,106,0
83,54,40,122,79,403,200,7
84,54,40,123,79,403,159,0
85,54,40,124,79,403,122,0
86,54,40,125,79,403,179,7
87,55,41,126,80,409,106,0
9,4,179,107,73,336,232,7
88,64,57,128,93,438,78,0
4,2,0,129,93,438,323,0
5,2,0,130,93,438,262,0
6,2,0,131,93,443,148,7
90,64,59,135,93,443,46,0
91,64,59,136,94,443,272,0
1,0,39,137,98,444,196,0
92,66,59,138,99,446,70,7
93,66,59,139,99,446,119,0
12,9,0,144,108,453,95,7
2,1,51,146,111,509,485,7
3,1,51,147,111,509,93,0
96,73,91,149,111,509,112,7
95,71,59,143,108,453,158,7
97,74,91,152,113,509,322,7
10,6,0,153,113,509,45,7
11,6,0,154,113,509,123,7
12,6,0,155,113,509,402,0
13,6,0,156,113,509,507,7
98,74,91,157,113,509,158,7
94,71,59,140,108,453,166,7
99,75,91,157,116,509,90,0
100,75,91,158,116,509,306,7
101,75,91,159,116,509,161,0
0,0,0,161,117,509,161,0
102,76,91,162,117,509,89,0
0,0,0,163,118,509,603,7
94,76,91,158,118,486,360,0
95,76,91,159,118,486,116,0
96,76,94,160,118,513,2,0
97,76,94,161,118,516,157,0
98,76,94,162,118,516,46,0
0,0,0,173,122,490,654,0
12,11,263,163,123,523,388,7
99,82,94,164,125,532,279,7
1,0,0,156,124,538,129,7
92,82,94,159,124,543,32,7
1,0,0,160,124,547,227,0
93,82,98,161,124,547,65,7
94,82,98,162,124,547,182,7
95,82,98,163,124,547,39,0
14,11,275,162,126,558,0,7
16,11,275,164,126,558,86,0
88,83,105,159,126,579,23,7
106,80,91,171,122,492,174,7
89,85,105,161,128,580,178,0
17,11,294,162,128,580,98,0
18,11,294,163,128,580,294,0
2,1,0,161,129,555,160,0
3,1,2,162,129,555,0,7
0,0,0,168,120,508,55,7
104,78,91,165,120,509,197,7
4,1,2,162,128,552,287,7
0,0,0,158,126,586,40,0
2,1,0,155,126,552,388,0
81,81,95,148,126,551,395,7
5,8,0,149,126,550,90,0
6,8,0,150,126,551,372,0
7,9,0,152,127,552,442,7
7,1,2,153,127,551,154,7
18,13,281,154,120,542,205,7
80,73,95,153,113,539,190,7
0,0,0,147,114,536,506,7
18,13,278,148,114,541,445,7
8,2,2,149,114,541,236,7
9,2,2,149,113,539,112,7
0,0,0,150,106,538,581,0
9,3,0,151,91,546,173,7
10,2,2,152,91,546,140,7
11,2,2,153,91,546,398,7
12,2,2,154,91,546,85,7
11,3,0,155,90,539,1279,0
12,4,0,153,90,495,299,7
70,51,90,151,90,470,70,0
68,52,89,146,91,437,438,7
56,46,86,131,79,440,332,7
18,10,194,129,79,445,138,7
19,10,194,130,79,445,224,7
21,10,194,132,79,445,423,0
1,0,0,133,79,445,59,7
22,10,194,134,79,445,253,0
23,10,195,135,79,446,293,7
11,5,0,136,79,445,90,7
54,44,76,137,79,445,156,7
24,10,200,138,79,445,96,0
25,10,200,139,79,445,222,7
27,10,200,141,79,445,358,7
55,44,76,142,79,447,135,0
57,44,76,144,79,447,544,7
58,43,78,144,78,452,553,7
27,13,216,142,81,475,294,0
53,44,76,139,83,458,327,7
54,44,76,142,83,472,184,0
2,0,0,143,83,457,13,7
2,1,0,142,80,452,542,0
3,1,0,143,80,452,107,0
28,13,210,143,79,451,439,7
52,41,74,144,82,462,189,7
53,41,74,145,82,463,272,7
49,41,74,140,82,464,629,7
5,3,0,140,81,460,184,7
3,3,47,140,69,478,57,7
105,80,91,169,122,505,173,7
14,4,4,128,53,466,72,7
29,8,223,125,52,473,264,0
29,8,213,125,51,424,0,7
30,8,213,126,51,424,321,7
31,8,213,127,51,424,25,0
32,8,213,128,51,424,195,7
1,0,0,129,51,425,180,7
10,4,0,124,49,426,91,0
11,9,0,142,108,453,160,7
0,0,0,125,52,444,795,0
40,23,23,126,56,449,36,7
41,23,23,127,56,449,78,0
0,0,0,128,56,449,177,0
42,23,23,129,56,453,9,7
32,11,221,130,56,454,235,7
42,24,24,128,57,465,88,0
43,24,24,129,57,468,28,7
11,7,0,131,60,481,614,7
12,7,0,131,60,484,44,0
44,26,27,130,63,504,235,7
45,26,27,131,63,504,266,7
6,3,3,132,63,509,68,7
13,8,0,133,63,509,255,0
0,0,0,134,60,510,278,7
43,24,29,133,59,523,382,7
32,12,259,134,60,525,369,0
33,12,259,135,60,525,444,0
34,12,259,136,60,525,376,0
1,1,60,133,58,525,225,0
42,23,32,134,60,534,2,7
43,22,32,135,62,540,327,7
7,3,3,136,63,541,306,7
0,0,21,137,64,543,112,7
8,3,3,139,65,553,111,0
0,0,0,140,65,553,57,7
1,0,0,141,65,553,74,7
2,0,0,142,65,553,167,7
3,0,0,142,65,553,114,7
4,0,0,143,65,553,125,0
5,0,0,144,65,553,69,7
43,23,35,139,65,553,137,7
2,0,0,138,65,552,53,0
